sample_id,peak_number,retention_time_min,peak_area,result_pct_of_spec,spec_low,spec_high
SMPL-50038,1,9.71,47207.8,103.86,95.0,105.0
SMPL-50038,2,7.62,42825.5,98.3,95.0,105.0
SMPL-50039,1,9.24,61058.7,103.04,95.0,105.0
SMPL-50043,1,8.82,59039.6,94.78,95.0,105.0
SMPL-50043,2,10.14,51999.1,100.93,95.0,105.0
SMPL-50043,3,11.86,61908.3,102.87,95.0,105.0
SMPL-50047,1,5.6,61359.1,101.41,95.0,105.0
SMPL-50047,2,4.8,51290.7,105.82,95.0,105.0
SMPL-50047,3,4.48,47812.2,103.58,95.0,105.0
SMPL-50049,1,9.05,40559.2,100.21,95.0,105.0
SMPL-50049,2,4.74,43875.4,97.84,95.0,105.0
SMPL-50050,1,9.42,43733.7,98.03,95.0,105.0
SMPL-50051,1,11.02,48483.2,104.07,95.0,105.0
SMPL-50052,1,6.74,47370.5,98.72,95.0,105.0
SMPL-50054,1,4.23,31610.7,98.99,95.0,105.0
SMPL-50054,2,9.16,49508.8,96.64,95.0,105.0
SMPL-50054,3,7.5,52644.8,94.98,95.0,105.0
SMPL-50057,1,5.5,44723.5,97.63,95.0,105.0
SMPL-50063,1,11.07,51037.9,100.72,95.0,105.0
SMPL-50065,1,4.86,53687.6,104.3,95.0,105.0
SMPL-50065,2,9.7,48118.0,97.93,95.0,105.0
SMPL-50065,3,6.99,48744.1,98.95,95.0,105.0
SMPL-50066,1,10.8,47045.4,96.01,95.0,105.0
SMPL-50066,2,8.92,39022.5,99.48,95.0,105.0
SMPL-50066,3,3.24,62268.6,100.36,95.0,105.0
SMPL-50068,1,4.69,63994.9,99.83,95.0,105.0
SMPL-50069,1,11.74,48884.4,102.98,95.0,105.0
SMPL-50069,2,9.99,56949.6,95.83,95.0,105.0
SMPL-50070,1,2.01,36645.8,100.62,95.0,105.0
SMPL-50070,2,6.5,54288.9,101.47,95.0,105.0
SMPL-50074,1,5.41,29475.9,98.58,95.0,105.0
SMPL-50074,2,3.72,46930.8,96.86,95.0,105.0
SMPL-50074,3,10.89,43018.7,96.29,95.0,105.0
SMPL-50076,1,11.07,47971.7,100.98,95.0,105.0
SMPL-50077,1,11.55,57915.7,102.32,95.0,105.0
SMPL-50077,2,2.1,62321.2,101.61,95.0,105.0
SMPL-50078,1,4.86,46890.0,93.57,95.0,105.0
SMPL-50078,2,8.63,52319.2,98.85,95.0,105.0
SMPL-50078,3,6.79,54761.2,93.62,95.0,105.0
SMPL-50080,1,7.5,52180.3,97.61,95.0,105.0
SMPL-50080,2,10.49,49219.5,99.75,95.0,105.0
SMPL-50081,1,11.92,48544.4,97.29,95.0,105.0
SMPL-50081,2,7.61,49839.4,106.96,95.0,105.0
SMPL-50086,1,2.77,48586.4,96.77,95.0,105.0
SMPL-50086,2,8.44,55363.0,98.41,95.0,105.0
SMPL-50087,1,6.97,67135.3,95.08,95.0,105.0
SMPL-50087,2,8.35,41553.3,102.81,95.0,105.0
SMPL-50087,3,8.58,55086.3,98.59,95.0,105.0
SMPL-50088,1,5.17,67249.2,102.07,95.0,105.0
SMPL-50088,2,3.96,60892.0,98.34,95.0,105.0
SMPL-50088,3,5.99,55497.4,99.85,95.0,105.0
SMPL-50089,1,4.74,50409.1,98.11,95.0,105.0
SMPL-50089,2,5.41,46838.8,99.83,95.0,105.0
SMPL-50091,1,9.75,55137.1,104.65,95.0,105.0
SMPL-50093,1,7.74,45785.4,99.15,95.0,105.0
SMPL-50093,2,6.03,45110.6,100.05,95.0,105.0
SMPL-50093,3,5.13,58830.6,102.92,95.0,105.0
SMPL-50095,1,2.9,47559.9,106.67,95.0,105.0
SMPL-50095,2,11.48,49029.1,98.68,95.0,105.0
SMPL-50097,1,4.69,44012.4,99.94,95.0,105.0
SMPL-50097,2,3.51,45186.4,99.87,95.0,105.0
SMPL-50100,1,7.69,51873.6,96.36,95.0,105.0
SMPL-50101,1,7.48,40348.2,101.45,95.0,105.0
SMPL-50101,2,5.14,69081.6,105.99,95.0,105.0
SMPL-50103,1,2.77,51288.0,98.45,95.0,105.0
SMPL-50103,2,6.83,59977.3,97.59,95.0,105.0
SMPL-50103,3,2.21,55709.8,99.4,95.0,105.0
SMPL-50107,1,11.84,45323.3,103.74,95.0,105.0
SMPL-50108,1,7.3,52033.9,98.79,95.0,105.0
SMPL-50110,1,7.05,63606.7,102.13,95.0,105.0
SMPL-50110,2,2.88,64418.5,105.83,95.0,105.0
SMPL-50110,3,7.09,51690.2,100.63,95.0,105.0
SMPL-50112,1,10.5,43395.0,99.88,95.0,105.0
SMPL-50112,2,9.09,65519.0,102.09,95.0,105.0
SMPL-50114,1,7.19,42477.6,98.73,95.0,105.0
SMPL-50117,1,7.94,46596.2,99.55,95.0,105.0
SMPL-50119,1,10.6,40462.3,96.34,95.0,105.0
SMPL-50119,2,3.18,38968.3,102.54,95.0,105.0
SMPL-50120,1,3.88,52689.1,102.02,95.0,105.0
SMPL-50120,2,10.77,44386.2,99.91,95.0,105.0
SMPL-50120,3,3.77,45476.3,101.42,95.0,105.0
SMPL-50123,1,4.38,51811.7,95.99,95.0,105.0
SMPL-50124,1,9.12,53863.5,99.82,95.0,105.0
SMPL-50127,1,7.9,46369.8,94.28,95.0,105.0
SMPL-50128,1,11.47,63899.6,100.72,95.0,105.0
SMPL-50131,1,11.48,52612.0,98.3,95.0,105.0
SMPL-50131,2,8.91,49911.7,102.94,95.0,105.0
SMPL-50132,1,5.78,49925.9,100.0,95.0,105.0
SMPL-50133,1,11.35,45680.2,100.87,95.0,105.0
SMPL-50133,2,11.45,47785.1,101.74,95.0,105.0
SMPL-50133,3,4.52,34393.0,103.73,95.0,105.0
SMPL-50134,1,3.9,48415.0,100.32,95.0,105.0
SMPL-50134,2,10.37,45125.9,101.75,95.0,105.0
SMPL-50135,1,8.03,58953.2,100.01,95.0,105.0
SMPL-50135,2,3.98,65541.4,102.15,95.0,105.0
SMPL-50135,3,9.17,47984.0,97.28,95.0,105.0
SMPL-50136,1,2.53,63030.5,102.94,95.0,105.0
SMPL-50136,2,2.39,47058.0,98.56,95.0,105.0
SMPL-50139,1,8.78,48429.3,99.17,95.0,105.0
SMPL-50139,2,3.68,41180.0,102.24,95.0,105.0
SMPL-50139,3,4.56,50012.0,93.26,95.0,105.0
SMPL-50141,1,9.2,60537.1,101.39,95.0,105.0
SMPL-50141,2,11.51,43010.8,96.99,95.0,105.0
SMPL-50142,1,6.29,43461.3,98.64,95.0,105.0
SMPL-50142,2,9.55,70806.1,99.63,95.0,105.0
SMPL-50147,1,7.55,56814.6,96.51,95.0,105.0
SMPL-50147,2,7.46,46919.8,95.26,95.0,105.0
SMPL-50148,1,5.93,52395.4,99.71,95.0,105.0
SMPL-50149,1,5.14,32538.6,100.14,95.0,105.0
SMPL-50149,2,10.18,57330.5,96.25,95.0,105.0
SMPL-50149,3,5.32,71700.5,101.47,95.0,105.0
